Disaster_Type,Country,Year,Total_Deaths,Injured,Damage_USD,Displaced_People,Latitude,Longitude
Landslide,Indonesia,2003,43,101,4549415342,333760,61.61714529,68.7304159
Flood,Philippines,1977,50,109,4908416250,138480,-51.07873426,107.7421708
Storm,Nigeria,1982,49,109,32797603,921657,58.43467338,-2.402540353
Tsunami,Philippines,2011,58,82,2221286678,387031,25.04697523,-120.5143595
Wildfire,Nigeria,1977,54,106,2886221421,666415,-6.737776753,-30.71242453
Volcanic Eruption,China,1999,47,113,1854042112,806192,-52.08795259,103.0658144
Flood,Mexico,2001,55,102,4792516566,542040,34.87432847,-31.37066258
Volcanic Eruption,Nigeria,2005,48,101,4737576794,745089,-14.05175492,70.7510857
Earthquake,USA,2016,54,116,3240960991,921304,5.488677098,2.596925404
Wildfire,Philippines,1999,45,99,950338711,66573,35.44198119,-93.15967496
Wildfire,Japan,1970,64,92,121695810,423270,67.64843658,106.6141829
Earthquake,Mexico,2012,56,96,4211749518,192888,55.56116818,-149.6831565
Flood,China,2008,41,100,1625104689,289010,3.083598075,8.960501792
Earthquake,Nigeria,1986,47,106,4405591366,787424,-5.710357958,-104.7992277
Volcanic Eruption,China,1989,47,102,3124577926,810128,-26.43083656,-155.8563737
Landslide,Japan,1993,49,89,4832896999,453498,-7.860254835,1.05621735
Wildfire,Indonesia,2019,50,92,582790319,233886,-44.45350578,-0.157623863
Drought,Bangladesh,1991,44,90,3960562094,885129,75.95477117,74.4843246
Drought,Japan,1998,53,88,3397266148,73541,20.34844215,88.1102495
Volcanic Eruption,Brazil,1991,48,108,863192970,52838,-42.10718201,82.00493593
Storm,Japan,2013,56,99,2581598582,815832,-10.6071587,-32.55885615
Tsunami,China,1978,57,103,689455208,344421,16.58548011,47.4083234
Earthquake,USA,2006,48,101,905530835,380836,14.60398913,27.70028735
Earthquake,Philippines,1979,45,118,1215986407,279709,-55.02952838,-28.2377678
Storm,USA,2005,50,102,2189342817,39585,73.11774479,34.99656991
Storm,China,2006,49,122,3498368338,952337,-21.44740459,161.0092356
Volcanic Eruption,Philippines,1997,47,93,3235154180,383703,-57.73414635,-110.5582523
Volcanic Eruption,Brazil,1997,43,98,3925464860,798526,-49.29783875,146.0779545
Storm,Bangladesh,2011,44,111,1423908775,162352,21.22728645,-160.756015
Wildfire,Mexico,2012,55,106,2150301468,570935,-40.71002711,-68.97988336
Volcanic Eruption,China,1990,40,94,62294073,699738,-54.158529,-76.2677105
Landslide,Nigeria,1993,48,107,4486424255,937017,-6.852294702,45.49143884
Volcanic Eruption,China,2011,50,89,1385874700,917658,27.18656693,-132.7590174
Earthquake,China,2009,47,92,2225111820,882230,-44.34242732,137.6451403
Volcanic Eruption,Philippines,1971,55,99,2811883829,421350,-16.1341035,118.278507
Wildfire,India,1977,44,95,984553644,786260,-1.513505973,54.74369509
Storm,Japan,2017,43,98,864624243,632338,-37.67558631,-14.97102055
Earthquake,India,1996,48,88,3897596490,401894,10.85034579,155.8641752
Volcanic Eruption,Brazil,1991,47,112,4894850354,661654,-48.07002783,119.0687597
Wildfire,Nigeria,2006,54,96,3376846407,271718,-53.48741051,-0.246546691
Landslide,Bangladesh,1996,56,105,3056672681,35183,12.7769514,72.6744076
Volcanic Eruption,Indonesia,1998,59,105,4930058927,704107,-25.29442381,24.09478278
Wildfire,Brazil,1972,54,107,4461693768,328750,-46.64766689,31.65920582
Landslide,Indonesia,2013,44,100,4372409107,149710,-0.652237752,-60.848615
Storm,Indonesia,1982,46,99,2936012285,57194,68.11970353,-13.64954234
Volcanic Eruption,Bangladesh,2014,44,114,3111590488,440769,41.38694253,-151.8762849
Landslide,USA,1979,37,117,208206914,26082,54.18622815,-51.354471
Earthquake,India,2005,51,93,1597108682,671666,62.06795843,70.49826553
Storm,China,1978,48,86,688519720,894803,76.1678838,163.157771
Earthquake,Mexico,2023,59,103,4715603228,127899,46.85452029,166.7030806
Drought,Indonesia,1996,50,115,2238611569,269951,25.17710907,20.06023288
Flood,Nigeria,2003,40,85,3095014167,182414,-8.840376758,38.38401065
Volcanic Eruption,Brazil,2020,36,100,3015684380,32143,-34.56994688,-113.1403732
Landslide,USA,1970,46,95,4501804353,121952,36.13238236,70.31091891
Flood,Indonesia,2001,42,104,3049980544,320558,79.29299806,-154.5628346
Flood,USA,1994,40,100,211706175,745662,5.430215847,-77.51315311
Landslide,USA,1998,40,124,4762090608,811147,41.31511153,60.61080502
Storm,Indonesia,1976,61,100,2254532136,717414,9.312942999,-68.28835264
Volcanic Eruption,Philippines,2018,57,102,3258339813,859366,0.470679271,-162.0551253
Drought,Japan,1972,38,96,4013128308,12202,-2.557214102,119.4733474
Earthquake,Nigeria,1989,44,84,4741567701,552275,10.64745561,-68.28119743
Wildfire,China,1989,42,94,1475935201,166812,-8.634607339,-157.2821191
Earthquake,China,2022,61,101,3204711118,771562,44.82826506,-153.0762608
Wildfire,Nigeria,1999,60,82,266692779,76848,62.39808372,-89.36683244
Earthquake,Philippines,2004,45,104,4399212109,479106,63.60394293,-115.914259
Landslide,China,2004,47,99,2992196481,184943,-28.12218012,98.7480424
Drought,USA,2018,51,101,3750533537,257476,65.42727942,-64.1937432
Volcanic Eruption,Bangladesh,2008,54,95,1448033895,668987,-12.18282754,109.6904826
Wildfire,Brazil,1996,46,120,2662573439,230721,-16.69692683,-117.4154408
Volcanic Eruption,India,1995,57,82,1229049507,225366,41.74584804,-2.563495364
Volcanic Eruption,China,1983,53,114,1045977892,575357,-17.34251239,67.69336808
Volcanic Eruption,Nigeria,1986,51,96,4076050849,40409,-52.58470321,54.71670739
Tsunami,Bangladesh,1987,47,98,1534980160,258329,-7.693511877,36.40658757
Storm,Indonesia,2014,32,104,2800738653,356166,41.00518405,152.9357767
Earthquake,Japan,2021,47,90,3191530321,473851,-14.22582116,-97.73094683
Volcanic Eruption,Nigeria,1998,42,95,4394331340,111689,28.13826784,-2.261086394
Earthquake,USA,1989,65,95,816094131,106948,32.4167222,138.237318
Volcanic Eruption,Japan,2022,56,88,3654762127,716846,42.72304164,-151.9582444
Wildfire,Brazil,1996,56,99,3019929438,525899,65.59826528,-159.8802234
Storm,Brazil,1987,53,107,373559514,912479,0.559029898,-96.01117648
Storm,Philippines,1973,53,104,4798669920,555945,-36.69950927,47.88763903
Landslide,Mexico,1970,37,85,3072725694,542750,-15.35039984,-86.44333448
Tsunami,Philippines,2019,46,106,322191623,993813,0.503415724,-111.5136418
Landslide,Bangladesh,1970,47,111,3940238525,772112,39.94480571,-14.83116647
Landslide,Japan,1995,52,106,3185890642,89299,-58.16290242,40.89530476
Landslide,Mexico,2014,47,96,1441928040,824979,-15.79004632,-90.51922547
Landslide,Indonesia,1989,43,103,1559810200,894186,49.17796134,-71.75117278
Landslide,USA,2021,46,100,1551351818,946567,33.92007847,40.88134973
Drought,Japan,1992,52,97,3365971795,760814,42.4435963,160.4658319
Storm,Philippines,1979,47,80,4187463321,344417,53.65350772,62.90702188
Landslide,India,1980,43,96,957807625,513622,49.65300064,101.8454917
Volcanic Eruption,Mexico,2010,57,107,2945530181,341541,35.50564326,-47.94836589
Storm,Mexico,2010,40,78,2943871236,577076,1.552614532,-81.98843062
Storm,USA,1974,47,93,116899857,173595,77.70376604,-16.46361245
Flood,China,1970,46,88,1453156629,685644,19.67024738,110.5678183
Drought,Brazil,1986,52,121,2795112370,612252,-31.61231069,-15.73212896
Landslide,Brazil,1991,48,89,173652092,457212,-19.00620029,124.8211472
Earthquake,India,2003,41,96,3273317517,328391,37.09874384,175.9579131
Wildfire,Bangladesh,2014,40,100,428730014,275850,69.46353913,-154.0704003
Tsunami,Bangladesh,2010,63,107,4741006612,486830,-34.97918191,-163.6523438
Volcanic Eruption,Indonesia,1998,70,93,2932668102,535212,-48.4714906,-126.147707
Earthquake,Japan,1973,55,100,3615671238,504593,63.41434673,-41.62691674
Drought,Nigeria,1974,60,92,570381255,540209,68.13891705,-132.8248047
Wildfire,China,1980,51,89,2471181964,418648,-21.30689166,133.4392119
Drought,Philippines,2020,46,104,133702132,905392,-7.179998588,-171.6673496
Volcanic Eruption,Nigeria,1990,56,110,1150211022,542101,32.42631965,-66.31462212
Storm,Nigeria,2004,66,91,4607594548,629036,-13.80979708,-113.5099334
Wildfire,Mexico,1981,52,106,1524509954,895420,62.80221916,155.3541589
Storm,India,1995,34,115,4412801155,720610,-44.93898162,61.01316176
Volcanic Eruption,Brazil,2020,49,107,2376905009,912510,-54.68248907,148.3308923
Earthquake,Indonesia,1988,48,98,1156406018,986460,-30.81193106,170.0383357
Volcanic Eruption,Bangladesh,2014,68,97,2571373681,657428,-19.94771105,-1.044632276
Earthquake,India,1976,50,97,867172199,564215,-44.19027722,-95.6451211
Wildfire,Mexico,2016,61,103,4615494304,463558,-50.80333989,-110.257637
Wildfire,Philippines,1976,56,77,4385759422,891580,45.78507989,-99.74920979
Landslide,Indonesia,1995,47,88,3113179788,554827,-37.00128077,75.09359074
Drought,Mexico,2009,58,85,3436751115,273827,67.94910787,-165.4395379
Landslide,Brazil,1974,53,93,4214009553,123031,-8.480047397,-161.5100137
Drought,Brazil,1990,48,119,4002314796,347295,33.88481336,38.93145926
Landslide,Brazil,1983,48,98,3166018089,166746,-28.44370393,51.14057283
Storm,India,1973,49,99,2981651772,576991,-26.35481241,59.49465276
Wildfire,India,1992,47,95,4742717998,845242,20.4592884,-46.12301835
Earthquake,Bangladesh,2011,43,96,2465119574,348255,18.49000952,110.1401599
Drought,Bangladesh,1989,51,109,4090827998,740703,47.62209192,12.10485158
Volcanic Eruption,Philippines,1984,45,103,760179396,872409,46.0938628,-142.0323732
Drought,Indonesia,2019,50,93,2543896850,742474,33.89628705,106.9557505
Earthquake,USA,2021,67,92,2320783589,666477,2.878279225,163.1044031
Landslide,USA,2014,49,100,2206134697,790097,64.68965408,-158.3869273
Drought,Mexico,1998,50,121,705322989,830822,27.16098863,-39.11351807
Tsunami,Brazil,1977,44,104,1991621725,861316,78.62778866,-4.494223859
Storm,Indonesia,2010,40,102,2602261019,588175,54.71177451,-127.2705264
Wildfire,Nigeria,2017,53,93,2103168297,703626,-53.79662643,132.3752212
Earthquake,India,1988,51,94,2099891204,317685,-15.11685301,-77.70612784
Wildfire,Japan,2017,55,77,333936018,458018,20.06260031,101.8830744
Tsunami,China,2008,55,106,684607341,880751,41.0057353,61.55801353
Drought,Philippines,2015,47,99,4360769889,7882,17.04710969,35.29649609
Drought,Brazil,1997,37,97,1930458784,70825,50.05825914,-110.8285745
Volcanic Eruption,Brazil,2015,40,97,1856867817,800342,-20.42820861,-100.5467326
Tsunami,Brazil,1996,57,122,2371397689,826998,-34.25231283,-162.9545743
Earthquake,India,1973,48,100,3579660277,194145,-52.45166427,-93.34352528
Volcanic Eruption,India,1984,59,100,3447112328,883951,20.26392424,-55.64030059
Storm,China,2004,59,94,4725649922,167248,36.40393289,119.9323094
Volcanic Eruption,Nigeria,2006,56,101,4012479555,83081,-14.3390396,-48.09863998
Flood,Indonesia,1970,43,93,475226213,161361,25.90178588,91.6638418
Earthquake,Brazil,1972,42,97,2888963044,967915,-52.69798768,-21.80077873
Flood,USA,2016,51,97,1419821367,987130,-46.09893152,102.5525923
Tsunami,Bangladesh,1993,43,98,2357549216,109337,38.24566812,171.4577762
Landslide,USA,1996,32,91,858221766,15362,-8.47024127,-93.6570391
Flood,Mexico,2009,51,101,88232789,480826,33.98676435,130.4429803
Storm,USA,2005,53,109,2415392045,275927,56.44095684,43.85667107
Volcanic Eruption,Mexico,2003,66,106,1999356244,175234,59.36714125,114.2259342
Landslide,Japan,1998,63,95,631074167,953253,-35.89652963,54.57092482
Volcanic Eruption,Bangladesh,1993,45,96,4923983801,761729,8.079980129,-27.37817738
Flood,USA,1993,55,90,1931678738,396770,42.74974131,-97.8930218
Volcanic Eruption,Japan,2011,46,92,1289116721,976072,48.35728348,-154.7873189
Tsunami,Philippines,1973,51,99,1915488630,280917,49.8546373,12.78661121
Landslide,Indonesia,1972,42,91,2033687,466910,-28.05657319,176.517394
Tsunami,Japan,2003,56,89,1419251187,984054,-33.04512552,85.69504981
Flood,Indonesia,2018,43,108,1646242259,177367,22.60174556,-62.1556051
Tsunami,USA,1992,53,106,2707956945,685691,43.75201168,117.793728
Storm,Nigeria,2022,50,110,4926385687,307784,-15.32046783,96.83424006
Flood,Japan,2021,46,90,4167824658,458093,-45.34127804,-78.61111439
Flood,Bangladesh,1992,43,87,2470715532,833401,40.34449361,-174.8493037
Flood,USA,2014,43,99,4764930476,829418,-18.04230361,-137.4614501
Earthquake,Brazil,1974,49,108,766347837,626305,-36.7092186,135.8302285
Volcanic Eruption,India,2000,49,106,178417092,378324,-39.31870602,121.1626927
Earthquake,Japan,2022,51,94,4838614503,531873,-15.91266335,-73.72475968
Earthquake,Bangladesh,2010,63,112,2256980298,4122,22.97492923,-77.32964654
Storm,Philippines,2023,50,93,1869076808,16838,-9.823686583,105.4313954
Landslide,Brazil,1975,55,109,4967344651,672661,-57.10734078,157.5854892
Volcanic Eruption,Philippines,2006,49,95,3114725891,285251,-46.43281915,100.4894124
Tsunami,USA,1979,62,100,4363376534,712717,-19.32954539,38.00832373
Drought,India,2009,51,91,1243880753,743521,32.3586275,-92.63831388
Flood,Japan,1976,50,90,2755994569,889110,-46.20788971,9.269249074
Tsunami,Japan,2008,52,118,799658194,710571,18.49195949,-95.93573091
Flood,Nigeria,2007,50,114,4751350615,590313,-43.21597808,110.8841112
Storm,Nigeria,1990,37,104,191235797,590808,-30.37385417,-40.69401137
Flood,USA,1989,58,108,3221120620,541632,-35.89360614,120.1309981
Earthquake,USA,1972,43,89,4602725769,319346,-50.58799102,-42.62068153
Volcanic Eruption,India,2020,56,109,2008020170,886518,33.98617443,116.6937859
Drought,Nigeria,1991,52,97,754385765,801391,4.876496634,-60.00558654
Wildfire,Bangladesh,2016,31,96,4901977696,956255,56.34748173,-21.55222634
Flood,Bangladesh,1973,58,101,541727710,395085,-46.1552824,41.57583096
Tsunami,India,1997,33,84,2214990830,830696,-39.73738933,-154.6964589
Earthquake,Bangladesh,1981,58,100,573882019,816700,-17.09591761,161.3545423
Wildfire,Mexico,2007,48,92,4207472611,608852,47.22123817,26.498083
Drought,Indonesia,2020,49,100,929870670,957110,-17.19376476,2.815205289
Wildfire,India,2005,51,118,2122381612,144622,-2.82138095,122.1818296
Earthquake,India,2016,46,97,2239116117,774393,-17.77550072,131.6745828
Volcanic Eruption,China,2010,47,109,1227852557,661062,-48.76859915,8.01374563
Volcanic Eruption,Brazil,1974,52,87,4803796396,602851,71.52070721,153.8144373
Landslide,Brazil,1982,45,102,4946580637,372308,16.79545889,-156.6944042
Volcanic Eruption,Mexico,1992,49,107,4951736791,979249,50.29664635,-139.2387148
Landslide,Nigeria,2019,56,86,2192407528,229351,32.16999291,34.84376281
Wildfire,USA,1999,46,92,2237961573,286603,11.99559907,-52.53628975
Storm,USA,2006,35,103,259063786,843214,-47.44504407,-12.87894017
Tsunami,Philippines,1994,62,96,4179582158,481038,29.98269634,-61.89148156
Tsunami,Mexico,2017,51,104,3980423671,137104,-38.24815017,-34.29888788
Wildfire,India,1996,47,105,43125522,1825,-1.98635629,116.152685
Flood,Mexico,2020,51,100,1064255218,650475,28.07584009,33.65143195
Flood,Mexico,1983,39,99,4742624889,470306,49.51206007,179.0440377
Volcanic Eruption,Mexico,2017,69,108,3306476310,773158,35.9063246,103.2765112
Tsunami,Brazil,2016,52,97,3610887816,441317,34.01469407,-81.48014852
Tsunami,Mexico,2023,51,86,3576067918,846541,-39.13409072,-84.83575762
Landslide,Indonesia,2005,52,114,2869156769,536758,-11.54200439,-59.07662276
Storm,USA,2008,48,107,3008162992,265914,-53.99228183,123.573413
Earthquake,Philippines,1985,53,94,2894793651,158340,40.72676504,-170.1764458
Flood,Indonesia,1991,53,86,3855333585,917533,73.36203738,-97.13473961
Tsunami,Philippines,1990,46,112,1429392257,685443,-23.02454537,145.7706313
Landslide,China,2023,61,103,4059267456,271102,-47.72246072,50.36271699
Drought,Philippines,1990,54,79,59332472,375950,6.579810746,-98.33504562
Landslide,USA,1977,43,113,4863325623,795238,59.93775124,-101.1078114
Flood,USA,2018,49,83,544828023,294306,17.27638734,130.5425166
Flood,Mexico,1985,52,95,3503243019,861164,-53.45119897,141.752703
Landslide,Japan,2000,46,112,3341446245,165961,76.39811367,-87.79280725
Earthquake,China,2011,43,119,4195532552,551990,56.01098739,-28.61627109
Wildfire,India,1979,43,106,605731023,428993,-41.57682921,120.4544659
Flood,Bangladesh,2001,48,98,2237405720,446187,69.05168591,97.5626779
Landslide,Philippines,2003,49,116,4467074886,794171,3.096360405,113.0097984
Tsunami,Japan,1978,60,93,4276921974,286743,-7.93428132,6.623348684
Landslide,Mexico,1986,51,93,4205523047,298971,4.547466274,148.1576574
Storm,Brazil,1980,48,103,3405622499,601109,56.84007396,-62.65744418
Wildfire,India,2001,54,79,1001869335,620971,32.32715496,-123.5980316
Drought,Nigeria,1979,64,107,3994465251,592734,-51.70521666,75.14363972
Earthquake,Japan,1991,46,98,3726553939,211282,74.06461196,14.16758976
Volcanic Eruption,Brazil,1986,43,96,79191199,870322,-39.31022131,127.6508768
Drought,China,1973,55,79,553195814,489428,44.37951324,-150.7826703
Wildfire,Mexico,2017,48,114,2131720857,809471,29.05911426,123.7292652
Wildfire,India,2021,53,90,3043515581,912453,-33.74607329,-74.41392484
Wildfire,India,2016,57,107,386307434,774815,-36.09750934,55.74804018
Drought,India,1994,59,110,2770632459,962433,61.84586312,-165.5536359
Tsunami,China,1990,65,107,2648288675,359511,-1.24271071,39.44926667
Wildfire,Philippines,2006,46,107,955372695,43884,31.64071198,78.21780811
Landslide,Nigeria,2007,48,111,632029598,680506,10.56994054,-47.24992278
Drought,China,2018,49,88,2462595787,570107,41.82949239,-102.4521461
Volcanic Eruption,Bangladesh,1970,44,117,1018620990,83162,7.093932506,13.54704358
Wildfire,Nigeria,1994,46,112,3015446476,737992,-19.76681186,119.9486896
Landslide,USA,2020,42,89,167664189,424524,-9.12632806,-63.52295101
Tsunami,Mexico,2005,48,95,4111817105,406270,60.27087722,-89.11105289
Storm,China,1986,52,84,199770587,79606,5.524857009,-79.58328889
Tsunami,Brazil,2010,42,99,589396901,894221,-30.11709349,161.687575
Volcanic Eruption,Nigeria,1993,53,86,2700954579,576306,70.84475433,-50.66031032
Wildfire,Bangladesh,1971,54,93,3685046666,26250,51.52406391,-178.7024736
Volcanic Eruption,USA,2009,50,103,2367077623,669773,-52.20673955,101.4052349
Drought,Philippines,1984,54,101,1764983420,339535,79.85201468,71.73892632
Flood,Brazil,2001,50,111,4214155894,301065,37.2897375,-133.7154247
Wildfire,Nigeria,2008,55,91,2771697165,857555,-37.56267613,174.5655297
Flood,Mexico,1975,49,94,3756463718,779599,-26.79652462,38.90242271
Landslide,Brazil,1970,48,99,2572547730,74363,36.94236737,0.280616739
Storm,USA,2016,54,113,2963616865,156857,49.16654774,-42.40106366
Earthquake,Brazil,1992,59,120,3028037077,187937,-26.53496796,143.522192
Volcanic Eruption,Indonesia,2008,37,94,2473446868,621688,-24.02436045,-92.17314669
Tsunami,Japan,1986,48,95,2552792926,96847,-17.00310272,-77.12319592
Storm,Philippines,2003,43,100,1354222308,793293,23.72257108,-135.9321096
Wildfire,USA,2010,51,100,3274824904,600628,-35.94573504,93.28287441
Flood,Brazil,1998,45,97,2503779817,931483,-45.40595216,34.39774095
Tsunami,Japan,1978,59,89,4936824291,722193,35.04097247,39.26382093
Flood,Japan,1982,43,107,2003060966,113049,49.07371157,-101.3506448
Drought,Brazil,1975,46,105,898250563,524645,10.13011662,54.42062009
Flood,Mexico,1975,49,102,4070938891,259718,-9.063420562,95.56504101
Drought,Indonesia,1989,42,99,411571975,901036,0.485979894,-51.16012894
Landslide,China,2021,64,100,1893592835,309345,-5.622903258,108.4849718
Tsunami,Indonesia,2022,49,106,754288253,185326,74.39788715,-54.43538813
Tsunami,Brazil,1972,39,108,2205231561,344304,47.53258673,92.92984614
Earthquake,Philippines,1986,45,125,1828145643,797228,-30.86778992,-167.8571613
Wildfire,China,2018,32,98,1845974649,547526,-6.213518712,18.41925653
Drought,USA,1981,56,100,2293552156,356320,16.16172079,169.0295618
Earthquake,Indonesia,2017,49,123,1288166318,444194,25.81802069,173.2480562
Flood,Brazil,2016,48,96,411322328,565171,5.545745444,-78.5690718
Flood,Indonesia,2014,56,94,478863399,609766,53.4177289,-21.09632721
Earthquake,China,1970,49,113,3872154415,593684,47.46484272,-157.3279531
Tsunami,Bangladesh,1986,49,95,2323771065,241819,10.72210861,134.4028707
Flood,Nigeria,1972,46,98,715142970,790879,59.62011415,24.68597513
Volcanic Eruption,Indonesia,1995,50,99,3587101254,806955,45.15253426,-41.36375558
Landslide,USA,1984,41,87,1541275788,457295,49.00145882,-139.4025989
Landslide,USA,2005,45,97,1955350224,720183,73.89610912,160.8362228
Volcanic Eruption,India,2001,35,96,4416105689,966793,-22.69462823,10.87885722
Earthquake,Indonesia,2001,38,89,1658345147,249494,-22.52925727,-78.14594553
Volcanic Eruption,Nigeria,1973,49,99,3528350027,493487,64.4533158,-53.92255315
Drought,Mexico,1987,45,108,3002128960,498099,48.11169227,-82.54901487
Drought,Japan,2018,38,114,2973889331,135921,69.7163758,36.65153119
Earthquake,Nigeria,1988,46,118,2175281101,155790,-51.16177755,154.7868873
Volcanic Eruption,Japan,2012,61,100,2313106862,891903,27.88599082,128.4097692
Drought,Japan,2021,39,85,995358224,874294,-39.75203266,-14.26288485
Tsunami,Bangladesh,2004,68,89,119927142,990506,10.54560776,117.5397704
Volcanic Eruption,India,2009,49,116,599999592,323121,-38.19542954,-27.68202674
Tsunami,Nigeria,1983,45,107,2450559127,874757,-42.06900874,-89.16942933
Drought,Nigeria,2002,51,116,4201375436,682495,-58.29643165,174.0294415
Landslide,Bangladesh,1983,59,104,3024024264,522912,28.23343373,-70.60047553
Drought,Indonesia,2003,52,105,173859030,503869,-9.736833663,-63.45927684
Tsunami,Indonesia,1973,51,115,1608052630,161334,-45.27364012,176.2894324
Storm,Indonesia,1993,52,102,4609067295,390566,-14.80271112,-131.7861025
Wildfire,Philippines,1998,56,117,967761327,513419,-36.3478272,93.79223568
Flood,Japan,1988,48,91,2989203074,221043,71.83727641,156.8925931
Volcanic Eruption,Philippines,1975,49,108,3325394545,34787,-15.19931599,4.246197939
Storm,India,2002,50,92,4480376692,759838,-13.24650674,-179.0921658
Drought,Bangladesh,2018,52,110,1839186610,277833,57.58012048,-44.97878012
Landslide,Nigeria,2009,57,115,4820862072,170932,30.68580658,-139.8351627
Earthquake,Japan,1988,44,101,2140802892,903969,39.42402504,-30.17244206
Drought,Philippines,2022,45,98,3835678351,836776,29.04025256,104.4096342
Landslide,Philippines,1970,53,101,2915000542,502025,72.46747975,-22.0638424
Wildfire,Brazil,1974,49,92,2422409352,330035,-31.01988358,-24.50695632
Drought,Philippines,1996,51,102,4380532246,182730,78.46549385,20.44421169
Tsunami,Mexico,1985,41,88,2966149117,97464,56.33386486,29.40861051
Earthquake,Nigeria,1975,59,105,4453995145,852301,22.45616244,128.2666712
Landslide,Mexico,2009,55,100,3478125235,428546,32.73202742,-68.99204188
Landslide,Nigeria,1982,39,119,3711035165,80312,30.83562271,115.8016552
Landslide,Bangladesh,2017,48,104,4825478352,715424,-51.82452863,23.73614953
Wildfire,Nigeria,2004,67,90,2315824697,551302,-29.47769021,-71.8093621
Drought,Mexico,1988,47,103,2848794673,558851,74.60592383,-73.75462416
Wildfire,Nigeria,1981,46,105,3181271467,932774,14.81102004,-49.99049384
Volcanic Eruption,Bangladesh,1985,54,107,1894569918,948783,-7.030495543,44.16956734
Flood,Bangladesh,2012,55,108,3816265920,360701,46.68538487,-96.90777671
Flood,India,1979,34,91,3477769218,396873,13.43265197,151.3200822
Volcanic Eruption,Nigeria,1994,47,96,1969155173,613710,-58.157212,26.9685303
Drought,Brazil,1989,50,111,162374323,370063,43.07326354,151.2056797
Tsunami,Indonesia,2000,43,103,3049695735,461989,42.51045841,-163.2944309
Wildfire,USA,1973,49,92,2909379875,918531,-36.8791803,-56.65990663
Earthquake,Bangladesh,2013,54,106,3631484796,145271,73.93241238,-171.7892422
Landslide,China,1992,52,93,3313506897,641142,-28.65286158,-81.98934656
Landslide,Indonesia,1971,54,95,3404707566,504803,4.084911434,130.32233
Drought,Japan,1991,52,93,4691405151,962458,-43.93696542,-166.8205023
Tsunami,Nigeria,2020,43,106,239975314,246229,24.45952472,-22.98704403
Flood,Mexico,2006,49,84,1115045858,79317,-7.436843192,-137.6758546
Flood,USA,1977,37,85,2500541297,277264,-10.55571529,-29.93736267
Landslide,China,1976,47,84,95657658,187884,55.77676281,121.9865703
Drought,Indonesia,1983,51,114,4468973970,614113,-58.6613602,44.30557202
Wildfire,Nigeria,1972,45,82,3553475848,792415,51.71254792,85.23228432
Flood,India,2019,43,100,2610955248,259571,20.0027992,-54.32251844
Wildfire,Japan,1985,54,103,1108976306,328773,78.05379189,159.9831702
Tsunami,USA,1988,47,104,3330609950,70325,22.52205088,75.33435376
Flood,Brazil,2020,57,74,4085421279,658272,-52.24692122,-28.15242506
Flood,India,1987,37,86,4349266602,834311,-52.9096543,-26.47267192
Storm,China,2021,45,102,3523815653,677233,63.64141809,150.7263041
Flood,USA,1985,58,118,4705976364,14332,57.76998037,27.50568964
Volcanic Eruption,India,1977,54,104,1953421306,671924,-11.57538942,74.29651557
Earthquake,Japan,2002,36,109,801450405,602083,26.52454779,-29.86731918
Volcanic Eruption,Brazil,2018,46,112,2839522642,107716,8.542789988,-99.47060468
Drought,India,1981,56,114,2368563431,413742,75.40296772,80.48134512
Drought,Philippines,2022,57,93,888653508,720841,72.99452612,38.81655797
Wildfire,Brazil,1980,49,109,1462712681,970279,77.7374612,0.483436953
Volcanic Eruption,China,1974,44,91,3973296070,873081,61.30282929,44.6475384
Volcanic Eruption,Japan,1996,52,115,3953986312,933510,67.33722271,-105.017189
Volcanic Eruption,Nigeria,1981,42,101,1237546461,21643,-29.58097097,105.8179344
Tsunami,Mexico,1986,51,99,3160468034,63128,56.34095046,161.3386098
Flood,Mexico,1975,49,117,3474868755,566811,39.23999585,140.7971319
Earthquake,Mexico,2002,52,98,46131515,856652,74.79011124,-64.28313169
Wildfire,USA,1974,51,100,3272374739,466606,19.97665598,-33.83792162
Volcanic Eruption,China,1997,50,100,458832556,52784,-48.07659666,111.0248279
Volcanic Eruption,Japan,1983,44,100,502958763,874325,23.63584477,34.2421671
Storm,Brazil,1974,46,90,4225188467,846133,36.12132992,17.24919972
Wildfire,USA,2023,50,108,3860999293,935450,-29.15505598,153.5911083
Volcanic Eruption,China,2002,45,104,2550135617,668487,-4.824126308,12.96898595
Wildfire,Nigeria,2019,59,105,1858490602,378245,23.79047797,5.377924651
Flood,Philippines,2017,39,97,4820140391,109002,-7.625196776,-164.8733071
Storm,Japan,2010,57,104,339157222,684764,-7.507319587,-155.0098949
Wildfire,Mexico,1988,40,89,4768663656,523897,-41.36787052,-177.3286892
Earthquake,India,1991,58,104,1904988180,743784,71.70454123,148.7679213
Earthquake,Japan,1974,53,107,4545069620,17401,45.06921383,-32.98080239
Drought,Bangladesh,1971,51,90,2340906671,932932,-59.82591856,-11.31790459
Storm,China,1999,53,101,356641644,888390,47.18585976,124.3393011
Storm,Indonesia,2016,49,94,574245016,244373,43.57129897,39.32867174
Drought,Nigeria,2008,51,88,2117885865,776890,-58.63766558,39.4205747
Wildfire,Philippines,1973,54,109,787969942,112046,-8.255398334,-73.24760543
Storm,Nigeria,2002,42,86,39080363,850804,24.94467665,120.2070146
Earthquake,Japan,1982,51,116,2074917093,274115,3.38509126,-120.3012086
Earthquake,Indonesia,1989,40,104,2114834727,506911,48.91805662,-160.8661468
